pLivr,dateCreation,article_id,filiere,desiArticle,dPr,ctrPr,qteOrdre,prixCmd,prixNet,annee,mois,dateCRD,hierarchi3,hierarchi2,hie3_2,hie_filiere,pExp,paysClient,clientDesignation,clientLivr,Gest,AS,ZDis
3,2024-01-31,M531.18126.200.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,1,531.64,531.64,2024,7,2024-07-28,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQH,,Z4
3,2024-01-31,M531.18126.201.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,2,1063.28,531.64,2024,7,2024-07-25,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQH,,Z4
3,2024-01-31,M531.18126.201.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,1,531.64,531.64,2024,6,2024-06-10,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQH,,Z4
3,2024-01-31,M531.18127.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,4,209.52,52.38,2024,7,2024-07-18,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2024-01-31,M531.18127.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,104.76,52.38,2024,7,2024-07-12,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2024-01-31,M531.18128.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,8,318.0,39.75,2024,8,2024-08-25,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2024-01-31,M531.18128.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,4,159.0,39.75,2024,8,2024-08-25,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2024-01-31,M531.18129.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,4,162.64,40.66,2024,8,2024-08-25,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2024-01-31,M531.18129.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,81.32,40.66,2024,8,2024-08-25,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2024-01-31,M531.18131.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,152.44,76.22,2024,8,2024-08-25,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2024-01-31,M531.18131.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,152.44,76.22,2024,8,2024-08-25,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2024-01-31,M531.18131.001.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,152.44,76.22,2024,8,2024-08-20,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2024-01-31,M531.18131.001.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,152.44,76.22,2024,8,2024-08-20,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2024-02-29,M531.18126.200.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,1,531.64,531.64,2024,10,2024-10-05,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQH,,Z4
0,2024-02-29,M531.18126.201.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,1,531.64,531.64,2024,8,2024-08-23,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQH,,Z4
0,2024-02-29,M531.18127.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,104.76,52.38,2025,1,2025-01-03,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2024-02-29,M531.18128.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,4,159.0,39.75,2024,9,2024-09-30,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2024-02-29,M531.18129.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,81.32,40.66,2024,9,2024-09-30,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2024-03-08,M531.18126.200.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,1,531.64,531.64,2024,6,2024-06-14,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,ES,Rhenus LTK Warehousing,22114,RQH,,Z4
0,2024-03-08,M531.18126.200.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,1,531.64,531.64,2024,7,2024-07-26,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,ES,Rhenus LTK Warehousing,22114,RQH,,Z4
0,2024-03-08,M531.18126.201.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,1,531.64,531.64,2024,7,2024-07-25,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,ES,Rhenus LTK Warehousing,22114,RQH,,Z4
0,2024-03-08,M531.18127.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,104.76,52.38,2024,9,2024-09-13,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,ES,Rhenus LTK Warehousing,22114,RQR,,Z4
